ID,Company_Name,Twitter_Account
631,Bloomberg,bloombergnews
632,Fenty Beauty,fentybeauty
633,Ashley HomeStore,ShopAshley
634,McKinsey & Company,McKinsey
635,Sonepar,Sonepar_IDF
636,PPG Industries,PPGIndustries
637,Deloitte Global,deloitte
638,Western Digital,westerndigital
639,Barrick Gold,BarrickGold
640,Accountor,null
641,Access Bank,myaccessbank
642,Yves Rocher,YvesRocherFR
643,Olympus,getolympus
644,Tommy Hilfiger,tommyhilfiger
645,CNP Assurances,null
646,Humana,humana
647,Coles Group,Coles
648,Chubb,Chubb
649,Proximus,null
650,Rooms To Go,RoomsToGo
651,Micron Technology,micronjobs
652,Motorola Solutions,MotoSolutions
653,Converse,converse
654,L3Harris,L3HarrisTech
655,Ecolab,Ecolab
656,Endesa,EndesaClientes
657,Autoliv,AutolivInc
658,KKR,KKR_Co
659,Santander Brazil,santander_br
660,Microsoft Azure,Azure
661,Allianz Ireland,AllianzIreland
662,Fifth Third Bank,fifththird
663,BAE Systems,BAESystemsInc
664,LCL,LCL
665,Jacobs Engineering,JacobsEngineers
666,Lazard,lazardltd
667,Bugatti,Bugatti
668,Sam's Club,samsclub
669,AMP,AMP_au
670,Ikea France,IKEA_France
671,Dow,DowChemical
672,National Australia Bank,NAB
673,Walmart Canada,WalmartCanada
674,Willis Towers Watson,WTWcorporate
675,ADT,ADTstaysafe
676,Truist,askbbt
677,Agilyx,agilyx
678,Atlas Copco,AtlasCopcoGroup
679,Xbox,Xbox
680,AkzoNobel,AkzoNobel
681,IBM France,IBM_France
682,Safaricom,SafaricomLtd
683,Otis Elevator,OtisElevatorCo
684,Coca-Cola European Partners,CokeCCE
685,Ant Group,antfinancial
686,Charter Communications,charter
687,Concentrix,Concentrix
688,Sephora USA,sephora
689,Legal & General Group,landg_business
690,Scania,ScaniaGroup
691,Banorte,Banorte_mx
692,7-Eleven US,7eleven
693,Carnival,null
694,Rolex,Rolex_Official
695,Flex,flextronics
696,Broadcom,Avagotech
697,General Dynamics,GDC4Systems
698,Workday,workday
699,Asics,MYASICS_jp
700,Herbalife Nutrition,Herbalife
701,Alliance Renault-Nissan-Mitsubishi,Alliance2022
702,Virgin Media,virginmedia
703,Accenture Interactive,accenturesocial
704,Monoprix,Monoprix
705,Tim Hortons,TimHortons
706,Aludyne,null
707,ManpowerGroup,ManpowerGroupJJ
708,FedEx Express,fedex
709,Qantas Airways,Qantasairways
710,HelloFresh,HelloFresh
711,Allianz Germany,allianz_de
712,Avanade,null
713,Dell EMC,EMCcorp
714,Urban Outfitters,urbn_scout
715,Leroy Merlin France,leroymerlinfr
716,Subway,subway
717,LendingClub,LendingClub
718,ByteDance,null
719,Air New Zealand,flyairnz
720,Indra,indracompany
721,Meilleurtaux,Meilleurtauxcom
722,Mandarin Oriental,MO_HOTELS
723,Mainfreight,MainfreightLtd
724,Archer Daniels Midland,ADMupdates
725,Canadian Tire,canadiantire
726,Yamaha,yamaha_ongakubu
727,Kiewit,kiewit
728,NNPC,nnpcgroup
729,Pull&Bear,pullandbear
730,Munich Re,MunichRe
731,Linde,The_Linde_Group
732,Shopify,shopify
733,Prada,prada
734,ARM,ARMCommunity
735,Solvay,SolvayGroup
736,Vopak,Vopak_Nederland
737,AG2R La Mondiale,null
738,Lidl France,lidlfrance
739,HSBC Bank Mexico,null
740,Marina Bay Sands,marinabaysands
741,Cummins,Cummins
742,Aviva Canada,AvivaCanada
743,Agco,AGCOcorp
744,ZF Friedrichshafen,ZF_Group
745,State Street,StateStreet
746,Action Logement,actionlogement
747,The North Face,thenorthface
748,Tanesco,TANESCO_
749,Swarovski Group,swarovski
750,Google France,google
751,Petroleum Development Oman,null
752,Euler Hermes,eulerhermes
753,Neptune Wellness Solutions,Neptune_corp
754,Myntra,myntra
755,UOB,null
756,OkCupid,okcupid
757,Atento,null
758,Embraer,embraersa
759,FIS,FISGlobal
760,DPD,DPDgroup_news
761,Veon,null
762,Aer Lingus,AerLingus
763,Zenith Bank,null
764,AutoZone,autozone
765,Faurecia Clarion Electronics,ClarionUSA
766,Toyota Motor North America,toyota
767,El Puerto de Liverpool,liverpoolmexico
768,Sopra Steria Group,soprarh
